trade_id,direction,entry_signal_date,exit_signal_date,exit_realize_date,holding_days,trade_ret
37,long_IC_short_IM,2023-03-15,2023-03-21,2023-03-22,5,0.0029903729
38,short_IC_long_IM,2023-03-22,2023-03-22,2023-03-23,1,-0.0018900705
39,long_IC_short_IM,2023-03-23,2023-03-28,2023-03-29,4,0.0005020169
40,short_IC_long_IM,2023-03-29,2023-03-29,2023-03-30,1,-0.0043839413
41,long_IC_short_IM,2023-03-30,2023-04-04,2023-04-06,4,-0.0029537893
42,short_IC_long_IM,2023-04-06,2023-04-11,2023-04-12,4,0.0023060651
43,long_IC_short_IM,2023-04-12,2023-04-12,2023-04-13,1,0.0006455242
44,short_IC_long_IM,2023-04-13,2023-04-17,2023-04-18,3,-0.0029364887
45,long_IC_short_IM,2023-04-18,2023-04-20,2023-04-21,3,-0.0007810411
46,short_IC_long_IM,2023-04-21,2023-04-24,2023-04-25,2,-0.0022400949
47,long_IC_short_IM,2023-04-25,2023-05-10,2023-05-11,9,0.0057607644
48,short_IC_long_IM,2023-05-11,2023-05-15,2023-05-16,3,-0.0091025480
49,long_IC_short_IM,2023-05-16,2023-05-18,2023-05-19,3,-0.0115872270
50,short_IC_long_IM,2023-05-19,2023-05-29,2023-05-30,7,0.0050837061
51,long_IC_short_IM,2023-05-30,2023-05-31,2023-06-01,2,-0.0015626201
52,short_IC_long_IM,2023-06-01,2023-06-06,2023-06-07,4,-0.0021709590
53,long_IC_short_IM,2023-06-07,2023-06-13,2023-06-14,5,-0.0027757905
54,short_IC_long_IM,2023-06-14,2023-06-16,2023-06-19,3,0.0012030493
55,long_IC_short_IM,2023-06-19,2023-06-19,2023-06-20,1,-0.0012510904
56,short_IC_long_IM,2023-06-20,2023-07-04,2023-07-05,9,0.0033255071
57,long_IC_short_IM,2023-07-05,2023-07-17,2023-07-18,9,0.0062419116
58,short_IC_long_IM,2023-07-18,2023-07-19,2023-07-20,2,-0.0038105351
59,long_IC_short_IM,2023-07-20,2023-08-08,2023-08-09,14,0.0153568180
60,short_IC_long_IM,2023-08-09,2023-08-09,2023-08-10,1,-0.0004090485
61,long_IC_short_IM,2023-08-10,2023-08-11,2023-08-14,2,-0.0039324919
62,short_IC_long_IM,2023-08-14,2023-08-15,2023-08-16,2,-0.0083482875
63,long_IC_short_IM,2023-08-16,2023-08-22,2023-08-23,5,0.0006533972
64,short_IC_long_IM,2023-08-23,2023-08-24,2023-08-25,2,-0.0067401996
65,long_IC_short_IM,2023-08-25,2023-08-30,2023-08-31,4,-0.0111308072
66,short_IC_long_IM,2023-08-31,2023-09-04,2023-09-05,3,0.0005982041
67,long_IC_short_IM,2023-09-05,2023-09-05,2023-09-06,1,-0.0029011901
68,short_IC_long_IM,2023-09-06,2023-09-13,2023-09-14,6,-0.0031174626
69,long_IC_short_IM,2023-09-14,2023-09-22,2023-09-25,7,0.0035994297
70,short_IC_long_IM,2023-09-25,2023-10-17,2023-10-18,11,0.0073348738
71,long_IC_short_IM,2023-10-18,2023-10-24,2023-10-25,5,-0.0048285949
72,short_IC_long_IM,2023-10-25,2023-11-01,2023-11-02,6,0.0031665391
73,long_IC_short_IM,2023-11-02,2023-11-03,2023-11-06,2,-0.0102512596
74,short_IC_long_IM,2023-11-06,2023-11-16,2023-11-17,9,0.0119668647
75,long_IC_short_IM,2023-11-17,2023-11-17,2023-11-20,1,-0.0024445710
76,short_IC_long_IM,2023-11-20,2023-11-22,2023-11-23,3,-0.0023016699
77,long_IC_short_IM,2023-11-23,2023-11-24,2023-11-27,2,0.0036727896
78,short_IC_long_IM,2023-11-27,2023-11-27,2023-11-28,1,-0.0001455161
79,long_IC_short_IM,2023-11-28,2023-11-30,2023-12-01,3,-0.0038930938
80,short_IC_long_IM,2023-12-01,2023-12-05,2023-12-06,3,-0.0031140843
81,long_IC_short_IM,2023-12-06,2023-12-28,2023-12-29,17,0.0102718339
82,short_IC_long_IM,2023-12-29,2024-01-03,2024-01-04,3,-0.0065958790
83,long_IC_short_IM,2024-01-04,2024-01-11,2024-01-12,6,0.0072689871
84,short_IC_long_IM,2024-01-12,2024-01-15,2024-01-16,2,-0.0039221056
85,long_IC_short_IM,2024-01-16,2024-01-25,2024-01-26,8,0.0182752869
86,short_IC_long_IM,2024-01-26,2024-01-29,2024-01-30,2,-0.0146678289
87,long_IC_short_IM,2024-01-30,2024-02-08,2024-02-19,8,0.0503403036
88,short_IC_long_IM,2024-02-19,2024-02-28,2024-02-29,8,0.0249138861
89,long_IC_short_IM,2024-02-29,2024-03-04,2024-03-05,3,0.0019180107
90,short_IC_long_IM,2024-03-05,2024-03-05,2024-03-06,1,0.0048264281
91,long_IC_short_IM,2024-03-06,2024-03-07,2024-03-08,2,0.0000881182
92,short_IC_long_IM,2024-03-08,2024-03-26,2024-03-27,13,0.0128337519
93,long_IC_short_IM,2024-03-27,2024-03-29,2024-04-01,3,-0.0126344080
94,short_IC_long_IM,2024-04-01,2024-04-02,2024-04-03,2,-0.0061167642
95,long_IC_short_IM,2024-04-03,2024-04-18,2024-04-19,10,0.0501414104
96,short_IC_long_IM,2024-04-19,2024-04-19,2024-04-22,1,0.0078265465
97,long_IC_short_IM,2024-04-22,2024-04-23,2024-04-24,2,-0.0161300767
98,short_IC_long_IM,2024-04-24,2024-05-09,2024-05-10,9,0.0041203972
99,long_IC_short_IM,2024-05-10,2024-05-15,2024-05-16,4,-0.0117096515
100,short_IC_long_IM,2024-05-16,2024-05-21,2024-05-22,4,0.0035316690
101,long_IC_short_IM,2024-05-22,2024-05-30,2024-05-31,7,0.0040471804
102,short_IC_long_IM,2024-05-31,2024-06-03,2024-06-04,2,-0.0131901116
103,long_IC_short_IM,2024-06-04,2024-06-11,2024-06-12,5,-0.0020207329
104,short_IC_long_IM,2024-06-12,2024-06-14,2024-06-17,3,0.0009595453
105,long_IC_short_IM,2024-06-17,2024-06-17,2024-06-18,1,-0.0053989926
106,short_IC_long_IM,2024-06-18,2024-06-20,2024-06-21,3,-0.0135621133
107,long_IC_short_IM,2024-06-21,2024-06-26,2024-06-27,4,0.0007494281
108,short_IC_long_IM,2024-06-27,2024-07-01,2024-07-02,3,0.0025005330
109,long_IC_short_IM,2024-07-02,2024-07-02,2024-07-03,1,-0.0026002079
110,short_IC_long_IM,2024-07-03,2024-07-05,2024-07-08,3,-0.0109890036
111,long_IC_short_IM,2024-07-08,2024-07-10,2024-07-11,3,-0.0122642165
112,short_IC_long_IM,2024-07-11,2024-07-16,2024-07-17,4,-0.0037903400
113,long_IC_short_IM,2024-07-17,2024-07-23,2024-07-24,5,0.0004882246
114,short_IC_long_IM,2024-07-24,2024-08-05,2024-08-06,9,0.0119520427
115,long_IC_short_IM,2024-08-06,2024-08-14,2024-08-15,7,0.0033890612
116,short_IC_long_IM,2024-08-15,2024-08-16,2024-08-19,2,-0.0033105457
117,long_IC_short_IM,2024-08-19,2024-08-23,2024-08-26,5,-0.0000428372
118,short_IC_long_IM,2024-08-26,2024-09-03,2024-09-04,7,0.0012519748
119,long_IC_short_IM,2024-09-04,2024-09-06,2024-09-09,3,0.0009602346
120,short_IC_long_IM,2024-09-09,2024-09-09,2024-09-10,1,0.0039903884
121,long_IC_short_IM,2024-09-10,2024-09-11,2024-09-12,2,0.0019242585
122,short_IC_long_IM,2024-09-12,2024-09-12,2024-09-13,1,-0.0000719102
123,long_IC_short_IM,2024-09-13,2024-09-23,2024-09-24,5,0.0048709352
124,short_IC_long_IM,2024-09-24,2024-09-24,2024-09-25,1,-0.0006245204
125,long_IC_short_IM,2024-09-25,2024-09-30,2024-10-08,4,-0.0331973146
126,short_IC_long_IM,2024-10-08,2024-10-10,2024-10-11,3,-0.0291750402
127,long_IC_short_IM,2024-10-11,2024-10-14,2024-10-15,2,-0.0161800867
128,short_IC_long_IM,2024-10-15,2024-10-23,2024-10-24,7,0.0168762486
129,long_IC_short_IM,2024-10-24,2024-10-24,2024-10-25,1,-0.0100379211
130,short_IC_long_IM,2024-10-25,2024-10-30,2024-10-31,4,0.0033654616
131,long_IC_short_IM,2024-10-31,2024-11-05,2024-11-06,4,0.0052693245
132,short_IC_long_IM,2024-11-06,2024-11-13,2024-11-14,6,0.0019555092
133,long_IC_short_IM,2024-11-14,2024-11-19,2024-11-20,4,-0.0115695833
134,short_IC_long_IM,2024-11-20,2024-12-05,2024-12-06,12,0.0200468691
135,long_IC_short_IM,2024-12-06,2024-12-06,2024-12-09,1,0.0041472764
136,short_IC_long_IM,2024-12-09,2024-12-10,2024-12-11,2,0.0072480366
137,long_IC_short_IM,2024-12-11,2024-12-11,2024-12-12,1,0.0019738804
138,short_IC_long_IM,2024-12-12,2024-12-13,2024-12-16,2,-0.0027766986
139,long_IC_short_IM,2024-12-16,2024-12-27,2024-12-30,10,0.0300909536
140,short_IC_long_IM,2024-12-30,2024-12-30,2024-12-31,1,-0.0012187682
141,long_IC_short_IM,2024-12-31,2025-01-08,2025-01-09,6,0.0042432541
142,short_IC_long_IM,2025-01-09,2025-01-09,2025-01-10,1,-0.0057482379
143,long_IC_short_IM,2025-01-10,2025-01-14,2025-01-15,3,-0.0152906606
144,short_IC_long_IM,2025-01-15,2025-02-13,2025-02-14,16,0.0151498867
145,long_IC_short_IM,2025-02-14,2025-02-18,2025-02-19,3,-0.0077021451
146,short_IC_long_IM,2025-02-19,2025-02-28,2025-03-03,8,0.0074988852
147,long_IC_short_IM,2025-03-03,2025-03-05,2025-03-06,3,-0.0120469889
148,short_IC_long_IM,2025-03-06,2025-03-13,2025-03-14,6,0.0008084119
149,long_IC_short_IM,2025-03-14,2025-03-19,2025-03-20,4,-0.0021481474
150,short_IC_long_IM,2025-03-20,2025-03-20,2025-03-21,1,-0.0309943948
151,long_IC_short_IM,2025-03-21,2025-04-01,2025-04-02,8,0.0049372162
152,short_IC_long_IM,2025-04-02,2025-04-02,2025-04-03,1,-0.0033079222
153,long_IC_short_IM,2025-04-03,2025-04-11,2025-04-14,6,0.0155333685
154,short_IC_long_IM,2025-04-14,2025-04-15,2025-04-16,2,-0.0078739566
155,long_IC_short_IM,2025-04-16,2025-04-17,2025-04-18,2,-0.0320885152
156,short_IC_long_IM,2025-04-18,2025-04-25,2025-04-28,6,0.0023660866
157,long_IC_short_IM,2025-04-28,2025-04-30,2025-05-06,3,-0.0112378842
158,short_IC_long_IM,2025-05-06,2025-05-12,2025-05-13,5,0.0015460587
159,long_IC_short_IM,2025-05-13,2025-05-19,2025-05-20,5,-0.0045330417
160,short_IC_long_IM,2025-05-20,2025-05-22,2025-05-23,3,-0.0088371050
161,long_IC_short_IM,2025-05-23,2025-05-27,2025-05-28,3,-0.0034956821
162,short_IC_long_IM,2025-05-28,2025-06-11,2025-06-12,10,0.0055525372
163,long_IC_short_IM,2025-06-12,2025-06-17,2025-06-18,4,-0.0020337453
164,short_IC_long_IM,2025-06-18,2025-06-19,2025-06-20,2,-0.0291725278
165,long_IC_short_IM,2025-06-20,2025-06-25,2025-06-26,4,-0.0135783125
166,short_IC_long_IM,2025-06-26,2025-06-30,2025-07-01,3,-0.0042464018
167,long_IC_short_IM,2025-07-01,2025-07-08,2025-07-09,6,-0.0026236361
168,short_IC_long_IM,2025-07-09,2025-07-15,2025-07-16,5,0.0006190174
169,long_IC_short_IM,2025-07-16,2025-07-16,2025-07-17,1,-0.0194327533
170,short_IC_long_IM,2025-07-17,2025-07-22,2025-07-23,4,-0.0065112205
171,long_IC_short_IM,2025-07-23,2025-07-30,2025-07-31,6,-0.0051648324
172,short_IC_long_IM,2025-07-31,2025-08-14,2025-08-15,11,0.0163572854
173,long_IC_short_IM,2025-08-15,2025-08-15,2025-08-18,1,-0.0020679961
174,short_IC_long_IM,2025-08-18,2025-08-20,2025-08-21,3,-0.0047962995
175,long_IC_short_IM,2025-08-21,2025-09-16,2025-09-17,19,0.0401501281
176,short_IC_long_IM,2025-09-17,2025-09-18,2025-09-19,2,-0.0103203684
177,long_IC_short_IM,2025-09-19,2025-10-13,2025-10-14,11,0.0104682855
178,short_IC_long_IM,2025-10-14,2025-10-21,2025-10-22,6,0.0020149234
179,long_IC_short_IM,2025-10-22,2025-10-23,2025-10-24,2,0.0022864466
180,short_IC_long_IM,2025-10-24,2025-10-24,2025-10-27,1,-0.0098418731
181,long_IC_short_IM,2025-10-27,2025-10-31,2025-11-03,5,-0.0121272084
182,short_IC_long_IM,2025-11-03,2025-11-07,2025-11-10,5,0.0034097807
183,long_IC_short_IM,2025-11-10,2025-11-10,2025-11-11,1,-0.0045556345
184,short_IC_long_IM,2025-11-11,2025-11-20,2025-11-21,8,0.0060724124
185,long_IC_short_IM,2025-11-21,2025-11-21,2025-11-24,1,-0.0024633501
186,short_IC_long_IM,2025-11-24,2025-12-01,2025-12-02,6,-0.0022782727
187,long_IC_short_IM,2025-12-02,2025-12-09,2025-12-10,6,0.0018183232
188,short_IC_long_IM,2025-12-10,2025-12-11,2025-12-12,2,-0.0085842043
189,long_IC_short_IM,2025-12-12,2025-12-25,2025-12-26,10,0.0143729916
190,short_IC_long_IM,2025-12-26,2025-12-29,2025-12-30,2,-0.0008572843
191,long_IC_short_IM,2025-12-30,2026-01-09,2026-01-12,7,0.0014364327
192,short_IC_long_IM,2026-01-12,2026-01-14,2026-01-15,3,-0.0103737670
193,long_IC_short_IM,2026-01-15,2026-01-29,2026-01-30,11,0.0109629673
194,short_IC_long_IM,2026-01-30,2026-02-04,2026-02-05,4,0.0013753492
195,long_IC_short_IM,2026-02-05,2026-02-06,2026-02-09,2,-0.0006224528
196,short_IC_long_IM,2026-02-09,2026-02-12,2026-02-13,4,-0.0009795616
197,long_IC_short_IM,2026-02-13,2026-02-27,2026-03-02,5,0.0029194091
198,short_IC_long_IM,2026-03-02,2026-03-02,2026-03-03,1,-0.0104839330
199,long_IC_short_IM,2026-03-03,2026-03-03,2026-03-04,1,-0.0068735881
